code,category,value,areaName
E08000025,Bad,51755,Birmingham
E08000032,Bad,24904,Bradford
E06000023,Bad,18032,Bristol
E06000052,Bad,26972,Cornwall
E06000047,Bad,30167,County Durham
E08000034,Bad,18669,Kirklees
E08000035,Bad,31621,Leeds
E08000012,Bad,29077,Liverpool
E08000003,Bad,24915,Manchester
E08000019,Bad,25998,Sheffield
E08000015,Bad,17840,Wirral
E08000034,Bad,5378,Kirklees
E08000025,veryBad,16870,Birmingham
E08000032,veryBad,7580,Bradford
E06000023,veryBad,5419,Bristol
E06000052,veryBad,8308,Cornwall
E06000047,veryBad,9004,County Durham
E08000035,veryBad,9116,Leeds
E08000012,veryBad,9707,Liverpool
E08000003,veryBad,8063,Manchester
E08000019,veryBad,7570,Sheffield
E08000015,veryBad,5426,Wirral
