code,category,value
E02000001,1,2937
E02000001,2,1547
E02000001,3,347
E02000001,4,75
E02000001,5,8
E02000002,1,954
E02000002,2,1085
E02000002,3,613
E02000002,4,194
E02000002,5,24
E02000003,1,1649
E02000003,2,1467
E02000003,3,667
E02000003,4,145
E02000003,5,2
E02000004,1,1014
E02000004,2,829
E02000004,3,365
E02000004,4,98
E02000004,5,3
E02000005,1,1544
E02000005,2,1252
E02000005,3,620
E02000005,4,201
E02000005,5,13
E02000007,1,1335
E02000007,2,1320
E02000007,3,739
E02000007,4,265
E02000007,5,16
E02000008,1,1546
E02000008,2,1729
E02000008,3,1017
E02000008,4,306
E02000008,5,26
E02000009,1,1578
E02000009,2,1600
E02000009,3,811
E02000009,4,252
E02000009,5,13
E02000010,1,1219
E02000010,2,1241
E02000010,3,634
E02000010,4,211
E02000010,5,22
E02000011,1,904
E02000011,2,912
E02000011,3,433
E02000011,4,90
E02000011,5,13
E02000012,1,1394
E02000012,2,1145
E02000012,3,605
E02000012,4,134
E02000012,5,9
E02000015,1,1041
E02000015,2,1145
E02000015,3,632
E02000015,4,202
E02000015,5,13
E02000016,1,1433
E02000016,2,1449
E02000016,3,694
E02000016,4,214
E02000016,5,21
E02000018,1,1086
E02000018,2,1234
E02000018,3,673
E02000018,4,231
E02000018,5,10
E02000020,1,1946
E02000020,2,1710
E02000020,3,792
E02000020,4,217
E02000020,5,7
E02000021,1,1098
E02000021,2,1155
E02000021,3,530
E02000021,4,138
E02000021,5,8
E02000022,1,1146
E02000022,2,1020
E02000022,3,463
E02000022,4,153
E02000022,5,12
E02000023,1,961
E02000023,2,983
E02000023,3,520
E02000023,4,175
E02000023,5,23
E02000024,1,2505
E02000024,2,1458
E02000024,3,430
E02000024,4,80
E02000024,5,4
E02000025,1,1800
E02000025,2,1231
E02000025,3,538
E02000025,4,156
E02000025,5,22
E02000027,1,1712
E02000027,2,1176
E02000027,3,601
E02000027,4,183
E02000027,5,13
E02000028,1,1477
E02000028,2,841
E02000028,3,309
E02000028,4,57
E02000028,5,8
E02000029,1,1852
E02000029,2,1186
E02000029,3,502
E02000029,4,154
E02000029,5,13
E02000030,1,2006
E02000030,2,1037
E02000030,3,379
E02000030,4,90
E02000030,5,7
E02000031,1,1960
E02000031,2,972
E02000031,3,322
E02000031,4,69
E02000031,5,4
E02000032,1,1499
E02000032,2,928
E02000032,3,272
E02000032,4,44
E02000032,5,1
E02000033,1,1744
E02000033,2,1126
E02000033,3,498
E02000033,4,117
E02000033,5,7
E02000034,1,1863
E02000034,2,1184
E02000034,3,417
E02000034,4,115
E02000034,5,9
E02000035,1,1859
E02000035,2,1126
E02000035,3,415
E02000035,4,114
E02000035,5,15
E02000036,1,1900
E02000036,2,1364
E02000036,3,525
E02000036,4,148
E02000036,5,7
E02000037,1,1970
E02000037,2,1186
E02000037,3,474
E02000037,4,81
E02000037,5,6
E02000038,1,2078
E02000038,2,1279
E02000038,3,521
E02000038,4,117
E02000038,5,10
E02000040,1,1944
E02000040,2,1011
E02000040,3,443
E02000040,4,106
E02000040,5,7
E02000041,1,1510
E02000041,2,1160
E02000041,3,522
E02000041,4,113
E02000041,5,21
E02000042,1,2146
E02000042,2,1619
E02000042,3,697
E02000042,4,209
E02000042,5,46
E02000043,1,1674
E02000043,2,754
E02000043,3,200
E02000043,4,35
E02000043,5,4
E02000044,1,1222
E02000044,2,1123
E02000044,3,540
E02000044,4,170
E02000044,5,15
E02000045,1,1952
E02000045,2,1381
E02000045,3,661
E02000045,4,192
E02000045,5,15
E02000047,1,1418
E02000047,2,1685
E02000047,3,828
E02000047,4,266
E02000047,5,13
E02000049,1,1445
E02000049,2,1341
E02000049,3,713
E02000049,4,271
E02000049,5,32
E02000050,1,1861
E02000050,2,1371
E02000050,3,613
E02000050,4,179
E02000050,5,10
E02000051,1,1931
E02000051,2,1229
E02000051,3,473
E02000051,4,132
E02000051,5,28
E02000054,1,1400
E02000054,2,986
E02000054,3,457
E02000054,4,108
E02000054,5,20
E02000055,1,1893
E02000055,2,1713
E02000055,3,692
E02000055,4,189
E02000055,5,21
E02000056,1,2212
E02000056,2,936
E02000056,3,252
E02000056,4,36
E02000056,5,6
E02000057,1,1298
E02000057,2,885
E02000057,3,384
E02000057,4,111
E02000057,5,28
E02000058,1,2216
E02000058,2,1287
E02000058,3,454
E02000058,4,125
E02000058,5,16
E02000060,1,1694
E02000060,2,1246
E02000060,3,545
E02000060,4,165
E02000060,5,45
E02000061,1,1891
E02000061,2,1154
E02000061,3,376
E02000061,4,110
E02000061,5,43
E02000062,1,939
E02000062,2,972
E02000062,3,496
E02000062,4,189
E02000062,5,20
E02000064,1,1323
E02000064,2,908
E02000064,3,393
E02000064,4,121
E02000064,5,17
E02000065,1,1143
E02000065,2,1039
E02000065,3,452
E02000065,4,132
E02000065,5,9
E02000069,1,1298
E02000069,2,1043
E02000069,3,365
E02000069,4,96
E02000069,5,8
E02000072,1,1957
E02000072,2,1550
E02000072,3,858
E02000072,4,299
E02000072,5,21
E02000073,1,2122
E02000073,2,1327
E02000073,3,428
E02000073,4,74
E02000073,5,6
E02000074,1,1373
E02000074,2,1258
E02000074,3,671
E02000074,4,186
E02000074,5,15
E02000075,1,1597
E02000075,2,1114
E02000075,3,382
E02000075,4,52
E02000075,5,4
E02000077,1,1421
E02000077,2,981
E02000077,3,435
E02000077,4,96
E02000077,5,3
E02000079,1,1858
E02000079,2,1211
E02000079,3,433
E02000079,4,79
E02000079,5,7
E02000080,1,1890
E02000080,2,1334
E02000080,3,504
E02000080,4,84
E02000080,5,3
E02000081,1,1589
E02000081,2,1121
E02000081,3,461
E02000081,4,105
E02000081,5,3
E02000084,1,2297
E02000084,2,1390
E02000084,3,445
E02000084,4,64
E02000084,5,3
E02000086,1,1542
E02000086,2,905
E02000086,3,289
E02000086,4,50
E02000086,5,2
E02000087,1,1842
E02000087,2,1091
E02000087,3,335
E02000087,4,48
E02000087,5,2
E02000088,1,1644
E02000088,2,938
E02000088,3,342
E02000088,4,52
E02000088,5,4
E02000090,1,2229
E02000090,2,1385
E02000090,3,475
E02000090,4,99
E02000090,5,6
E02000092,1,1122
E02000092,2,935
E02000092,3,477
E02000092,4,170
E02000092,5,10
E02000093,1,1696
E02000093,2,1398
E02000093,3,541
E02000093,4,101
E02000093,5,4
E02000094,1,1561
E02000094,2,1220
E02000094,3,546
E02000094,4,138
E02000094,5,2
E02000096,1,1262
E02000096,2,899
E02000096,3,298
E02000096,4,38
E02000096,5,2
E02000097,1,1242
E02000097,2,1134
E02000097,3,527
E02000097,4,132
E02000097,5,3
E02000099,1,1243
E02000099,2,1068
E02000099,3,467
E02000099,4,138
E02000099,5,3
E02000101,1,1278
E02000101,2,1250
E02000101,3,669
E02000101,4,177
E02000101,5,12
E02000102,1,775
E02000102,2,1079
E02000102,3,609
E02000102,4,199
E02000102,5,24
E02000104,1,969
E02000104,2,864
E02000104,3,415
E02000104,4,145
E02000104,5,23
E02000105,1,1165
E02000105,2,1241
E02000105,3,552
E02000105,4,140
E02000105,5,9
E02000106,1,1153
E02000106,2,1385
E02000106,3,800
E02000106,4,227
E02000106,5,20
E02000107,1,1698
E02000107,2,1558
E02000107,3,798
E02000107,4,272
E02000107,5,36
E02000111,1,1069
E02000111,2,1264
E02000111,3,674
E02000111,4,165
E02000111,5,17
E02000113,1,813
E02000113,2,1277
E02000113,3,820
E02000113,4,345
E02000113,5,34
E02000115,1,1710
E02000115,2,1261
E02000115,3,658
E02000115,4,199
E02000115,5,51
E02000116,1,1059
E02000116,2,1200
E02000116,3,710
E02000116,4,249
E02000116,5,19
E02000117,1,1423
E02000117,2,1764
E02000117,3,1088
E02000117,4,428
E02000117,5,54
E02000118,1,1058
E02000118,2,1249
E02000118,3,662
E02000118,4,173
E02000118,5,15
E02000120,1,1993
E02000120,2,1390
E02000120,3,613
E02000120,4,220
E02000120,5,24
E02000121,1,1287
E02000121,2,1488
E02000121,3,659
E02000121,4,176
E02000121,5,17
E02000122,1,1603
E02000122,2,993
E02000122,3,410
E02000122,4,144
E02000122,5,10
E02000123,1,1783
E02000123,2,2139
E02000123,3,1185
E02000123,4,371
E02000123,5,61
E02000125,1,1909
E02000125,2,1269
E02000125,3,551
E02000125,4,199
E02000125,5,14
E02000127,1,1628
E02000127,2,1257
E02000127,3,669
E02000127,4,221
E02000127,5,9
E02000128,1,1717
E02000128,2,925
E02000128,3,362
E02000128,4,57
E02000128,5,2
E02000130,1,2010
E02000130,2,1120
E02000130,3,417
E02000130,4,110
E02000130,5,9
E02000131,1,2761
E02000131,2,1508
E02000131,3,583
E02000131,4,199
E02000131,5,17
E02000132,1,2833
E02000132,2,1508
E02000132,3,484
E02000132,4,109
E02000132,5,8
E02000134,1,2904
E02000134,2,1611
E02000134,3,615
E02000134,4,159
