code,category,value,areaName
W92000004,1,618587,Wales
W92000004,2,450057,Wales
W92000004,3,215492,Wales
W92000004,4,60583,Wales
W92000004,5,2395,Wales
E12000001,1,534296,North East
E12000001,2,394780,North East
E12000001,3,190800,North East
E12000001,4,53831,North East
E12000001,5,1973,North East
E12000002,1,1472821,North West
E12000002,2,1044671,North West
E12000002,3,485461,North West
E12000002,4,143300,North West
E12000002,5,7150,North West
E12000003,1,1091336,Yorkshire and The Humber
E12000003,2,785691,Yorkshire and The Humber
E12000003,3,352188,Yorkshire and The Humber
E12000003,4,96318,Yorkshire and The Humber
E12000003,5,5125,Yorkshire and The Humber
E12000004,1,979646,East Midlands
E12000004,2,690884,East Midlands
E12000004,3,291841,East Midlands
E12000004,4,71223,East Midlands
E12000004,5,3738,East Midlands
E12000005,1,1115476,West Midlands
E12000005,2,827947,West Midlands
E12000005,3,379299,West Midlands
E12000005,4,101174,West Midlands
E12000005,5,5595,West Midlands
E12000006,1,1302899,East of England
E12000006,2,893298,East of England
E12000006,3,347732,East of England
E12000006,4,79502,East of England
E12000006,5,5351,East of England
E12000007,1,1645477,London
E12000007,2,1126412,London
E12000007,3,493110,London
E12000007,4,145789,London
E12000007,5,13104,London
E12000008,1,1981806,South East
E12000008,2,1250376,South East
E12000008,3,462795,South East
E12000008,4,104955,South East
E12000008,5,8034,South East
E12000009,1,1225986,South West
E12000009,2,828631,South West
E12000009,3,317350,South West
E12000009,4,72014,South West
E12000009,5,4900,South West
W92000004,1,618587,Wales
W92000004,2,450057,Wales
W92000004,3,215492,Wales
W92000004,4,60583,Wales
W92000004,5,2395,Wales
