code,category,value,areaName
E07000073,5,188,Harlow
E07000073,4,1669,Harlow
E07000073,3,6350,Harlow
E07000073,2,13397,Harlow
E07000073,1,16252,Harlow
E08000034,5,469,Kirklees
E09000001,5,8,City of London
E09000001,4,75,City of London
E09000001,3,347,City of London
E09000001,2,1547,City of London
E09000001,1,2937,City of London
E09000002,5,287,Barking and Dagenham
E09000002,4,4348,Barking and Dagenham
E09000002,3,14090,Barking and Dagenham
E09000002,2,27396,Barking and Dagenham
E09000002,1,27781,Barking and Dagenham
E09000003,5,668,Barnet
E09000003,4,5415,Barnet
E09000003,3,19877,Barnet
E09000003,2,49136,Barnet
E09000003,1,73825,Barnet
E09000004,5,206,Bexley
E09000004,4,2998,Bexley
E09000004,3,13232,Bexley
E09000004,2,32625,Bexley
E09000004,1,46238,Bexley
E09000005,5,591,Brent
E09000005,4,6328,Brent
E09000005,3,21017,Brent
E09000005,2,43300,Brent
E09000005,1,47376,Brent
E09000006,5,228,Bromley
E09000006,4,3586,Bromley
E09000006,3,15360,Bromley
E09000006,2,42434,Bromley
E09000006,1,74219,Bromley
E09000007,5,603,Camden
E09000007,4,4938,Camden
E09000007,3,13535,Camden
E09000007,2,29601,Camden
E09000007,1,44082,Camden
E09000008,5,552,Croydon
E09000008,4,5581,Croydon
E09000008,3,21635,Croydon
E09000008,2,51772,Croydon
E09000008,1,73406,Croydon
E09000009,5,518,Ealing
E09000009,4,5686,Ealing
E09000009,3,20275,Ealing
E09000009,2,45650,Ealing
E09000009,1,61529,Ealing
E09000010,5,566,Enfield
E09000010,4,6012,Enfield
E09000010,3,20209,Enfield
E09000010,2,43120,Enfield
E09000010,1,51013,Enfield
E09000011,5,428,Greenwich
E09000011,4,5382,Greenwich
E09000011,3,16597,Greenwich
E09000011,2,36622,Greenwich
E09000011,1,55023,Greenwich
E09000012,5,605,Hackney
E09000012,4,6333,Hackney
E09000012,3,16971,Hackney
E09000012,2,34486,Hackney
E09000012,1,47686,Hackney
E09000013,5,379,Hammersmith and Fulham
E09000013,4,3319,Hammersmith and Fulham
E09000013,3,10555,Hammersmith and Fulham
E09000013,2,25243,Hammersmith and Fulham
E09000013,1,41748,Hammersmith and Fulham
E09000014,5,607,Haringey
E09000014,4,5755,Haringey
E09000014,3,17629,Haringey
E09000014,2,35580,Haringey
E09000014,1,45524,Haringey
E09000015,5,233,Harrow
E09000015,4,2763,Harrow
E09000015,3,12012,Harrow
E09000015,2,30953,Harrow
E09000015,1,43681,Harrow
E09000016,5,212,Havering
E09000016,4,3337,Havering
E09000016,3,14859,Havering
E09000016,2,34966,Havering
E09000016,1,47903,Havering
E09000017,5,327,Hillingdon
E09000017,4,4110,Hillingdon
E09000017,3,16448,Hillingdon
E09000017,2,38207,Hillingdon
E09000017,1,50136,Hillingdon
E09000018,5,420,Hounslow
E09000018,4,4377,Hounslow
E09000018,3,16488,Hounslow
E09000018,2,36270,Hounslow
E09000018,1,45406,Hounslow
E09000019,5,450,Islington
E09000019,4,5409,Islington
E09000019,3,14577,Islington
E09000019,2,29403,Islington
E09000019,1,46657,Islington
E09000020,5,426,Kensington and Chelsea
E09000020,4,2918,Kensington and Chelsea
E09000020,3,8121,Kensington and Chelsea
E09000020,2,20245,Kensington and Chelsea
E09000020,1,35174,Kensington and Chelsea
E09000021,5,116,Kingston upon Thames
E09000021,4,1552,Kingston upon Thames
E09000021,3,7045,Kingston upon Thames
E09000021,2,20274,Kingston upon Thames
E09000021,1,36639,Kingston upon Thames
E09000022,5,473,Lambeth
E09000022,4,5499,Lambeth
E09000022,3,18625,Lambeth
E09000022,2,42725,Lambeth
E09000022,1,67366,Lambeth
E09000023,5,536,Lewisham
E09000023,4,5755,Lewisham
E09000023,3,18556,Lewisham
E09000023,2,39762,Lewisham
E09000023,1,57783,Lewisham
E09000024,5,168,Merton
E09000024,4,2276,Merton
E09000024,3,9632,Merton
E09000024,2,25596,Merton
E09000024,1,44057,Merton
E09000025,5,501,Newham
E09000025,4,7081,Newham
E09000025,3,21230,Newham
E09000025,2,41296,Newham
E09000025,1,45399,Newham
E09000026,5,277,Redbridge
E09000026,4,3869,Redbridge
E09000026,3,15319,Redbridge
E09000026,2,36254,Redbridge
E09000026,1,47994,Redbridge
E09000027,5,130,Richmond upon Thames
E09000027,4,1678,Richmond upon Thames
E09000027,3,6992,Richmond upon Thames
E09000027,2,22644,Richmond upon Thames
E09000027,1,49261,Richmond upon Thames
E09000028,5,410,Southwark
E09000028,4,6066,Southwark
E09000028,3,19018,Southwark
E09000028,2,41817,Southwark
E09000028,1,63507,Southwark
E09000029,5,187,Sutton
E09000029,4,2549,Sutton
E09000029,3,10463,Sutton
E09000029,2,27257,Sutton
E09000029,1,41892,Sutton
E09000030,5,527,Tower Hamlets
E09000030,4,7054,Tower Hamlets
E09000030,3,18685,Tower Hamlets
E09000030,2,38337,Tower Hamlets
E09000030,1,55936,Tower Hamlets
E09000031,5,380,Waltham Forest
E09000031,4,4600,Waltham Forest
E09000031,3,16559,Waltham Forest
E09000031,2,34786,Waltham Forest
E09000031,1,46576,Waltham Forest
E09000032,5,396,Wandsworth
E09000032,4,4113,Wandsworth
E09000032,3,14425,Wandsworth
E09000032,2,38272,Wandsworth
E09000032,1,80186,Wandsworth
E09000033,5,683,Westminster
E09000033,4,5025,Westminster
E09000033,3,12728,Westminster
E09000033,2,28839,Westminster
E09000033,1,47540,Westminster
