code,category,value,areaName
E08000025,0 diabled people,277497,Birmingham
E08000025,1 person disabled,112069,Birmingham
E08000025,2 or more disabled,33890,Birmingham
E08000032,0 diabled people,138142,Bradford
E08000032,1 person disabled,56308,Bradford
E08000032,2 or more disabled,15417,Bradford
E08000035,0 diabled people,235565,Leeds
E08000035,1 person disabled,85835,Leeds
E08000035,2 or more disabled,20066,Leeds
E08000003,0 diabled people,142392,Manchester
E08000003,1 person disabled,56704,Manchester
E08000003,2 or more disabled,15636,Manchester
