code,category,value,areaName
W92000004,1,196056,Wales
W92000004,2,233503,Wales
W92000004,3,138010,Wales
W92000004,4,145009,Wales
W92000004,5,160019,Wales
W92000004,6,81669,Wales
W92000004,7,77093,Wales
W92000004,8,67941,Wales
W92000004,9,10615,Wales
W92000004,10,102274,Wales
W92000004,11,59562,Wales
W92000004,12,7904,Wales
W92000004,13,26078,Wales
W92000004,14,41381,Wales
E12000001,1,167832,North East
E12000001,2,228092,North East
E12000001,3,112397,North East
E12000001,4,129507,North East
E12000001,5,135625,North East
E12000001,6,66198,North East
E12000001,7,70052,North East
E12000001,8,57542,North East
E12000001,9,9708,North East
E12000001,10,94314,North East
E12000001,11,49103,North East
E12000001,12,6678,North East
E12000001,13,18689,North East
E12000001,14,29946,North East
E12000002,1,420823,North West
E12000002,2,594090,North West
E12000002,3,278671,North West
E12000002,4,312295,North West
E12000002,5,412594,North West
E12000002,6,179598,North West
E12000002,7,192405,North West
E12000002,8,155174,North West
E12000002,9,25427,North West
E12000002,10,241480,North West
E12000002,11,141016,North West
E12000002,12,23228,North West
E12000002,13,73084,North West
E12000002,14,103521,North West
E12000003,1,309721,Yorkshire and The Humber
E12000003,2,423837,Yorkshire and The Humber
E12000003,3,221778,Yorkshire and The Humber
E12000003,4,259341,Yorkshire and The Humber
E12000003,5,305595,Yorkshire and The Humber
E12000003,6,122302,Yorkshire and The Humber
E12000003,7,153710,Yorkshire and The Humber
E12000003,8,119334,Yorkshire and The Humber
E12000003,9,18488,Yorkshire and The Humber
E12000003,10,168688,Yorkshire and The Humber
E12000003,11,87771,Yorkshire and The Humber
E12000003,12,14333,Yorkshire and The Humber
E12000003,13,51557,Yorkshire and The Humber
E12000003,14,74202,Yorkshire and The Humber
E12000004,1,264630,East Midlands
E12000004,2,332547,East Midlands
E12000004,3,209388,East Midlands
E12000004,4,236710,East Midlands
E12000004,5,280529,East Midlands
E12000004,6,115259,East Midlands
E12000004,7,134608,East Midlands
E12000004,8,103354,East Midlands
E12000004,9,15825,East Midlands
E12000004,10,132437,East Midlands
E12000004,11,76841,East Midlands
E12000004,12,13008,East Midlands
E12000004,13,49543,East Midlands
E12000004,14,72655,East Midlands
E12000005,1,318108,West Midlands
E12000005,2,407699,West Midlands
E12000005,3,231216,West Midlands
E12000005,4,248508,West Midlands
E12000005,5,345254,West Midlands
E12000005,6,147651,West Midlands
E12000005,7,137757,West Midlands
E12000005,8,115766,West Midlands
E12000005,9,18897,West Midlands
E12000005,10,180039,West Midlands
E12000005,11,107166,West Midlands
E12000005,12,17610,West Midlands
E12000005,13,72712,West Midlands
E12000005,14,81110,West Midlands
E12000006,1,347326,East of England
E12000006,2,412482,East of England
E12000006,3,272511,East of England
E12000006,4,287375,East of England
E12000006,5,406526,East of England
E12000006,6,154351,East of England
E12000006,7,164306,East of England
E12000006,8,125253,East of England
E12000006,9,19995,East of England
E12000006,10,166653,East of England
E12000006,11,101786,East of England
E12000006,12,15724,East of England
E12000006,13,63676,East of England
E12000006,14,90814,East of England
E12000007,1,313049,London
E12000007,2,688934,London
E12000007,3,148209,London
E12000007,4,256539,London
E12000007,5,541099,London
E12000007,6,179527,London
E12000007,7,229339,London
E12000007,8,101486,London
E12000007,9,18594,London
E12000007,10,267852,London
E12000007,11,186085,London
E12000007,12,57533,London
E12000007,13,160669,London
E12000007,14,274975,London
E12000008,1,503974,South East
E12000008,2,577765,South East
E12000008,3,386986,South East
E12000008,4,420975,South East
E12000008,5,619300,South East
E12000008,6,220104,South East
E12000008,7,240827,South East
E12000008,8,166572,South East
E12000008,9,26054,South East
E12000008,10,227161,South East
E12000008,11,142680,South East
E12000008,12,23039,South East
E12000008,13,93493,South East
E12000008,14,159037,South East
E12000009,1,356329,South West
E12000009,2,384994,South West
E12000009,3,284123,South West
E12000009,4,288960,South West
E12000009,5,328880,South West
E12000009,6,129194,South West
E12000009,7,163957,South West
E12000009,8,108519,South West
E12000009,9,16029,South West
E12000009,10,138453,South West
E12000009,11,85379,South West
E12000009,12,12817,South West
E12000009,13,46913,South West
E12000009,14,104334,South West
W92000004,1,196056,Wales
W92000004,2,233503,Wales
W92000004,3,138010,Wales
W92000004,4,145009,Wales
W92000004,5,160019,Wales
W92000004,6,81669,Wales
W92000004,7,77093,Wales
W92000004,8,67941,Wales
W92000004,9,10615,Wales
W92000004,10,102274,Wales
W92000004,11,59562,Wales
W92000004,12,7904,Wales
W92000004,13,26078,Wales
W92000004,14,41381,Wales
