Code,Borough,Tenure of household,Value
E09000002,Barking and Dagenham,Owned: Owns outright,11130
E09000002,Barking and Dagenham,Owned: Owns with a mortgage or loan,20189
E09000002,Barking and Dagenham,Shared ownership: Shared ownership,1274
E09000002,Barking and Dagenham,Social rented: Rents from council or Local Authority,18077
E09000002,Barking and Dagenham,Social rented: Other social rented,5196
E09000002,Barking and Dagenham,Private rented: Private landlord or letting agency,16443
E09000002,Barking and Dagenham,Private rented: Other private rented,1447
E09000002,Barking and Dagenham,Lives rent free,146
E09000003,Barnet,Owned: Owns outright,39083
E09000003,Barnet,Owned: Owns with a mortgage or loan,39324
E09000003,Barnet,Shared ownership: Shared ownership,1633
E09000003,Barnet,Social rented: Rents from council or Local Authority,10030
E09000003,Barnet,Social rented: Other social rented,10004
E09000003,Barnet,Private rented: Private landlord or letting agency,45180
E09000003,Barnet,Private rented: Other private rented,3525
E09000003,Barnet,Lives rent free,138
E09000004,Bexley,Owned: Owns outright,31210
E09000004,Bexley,Owned: Owns with a mortgage or loan,34207
E09000004,Bexley,Shared ownership: Shared ownership,1263
E09000004,Bexley,Social rented: Rents from council or Local Authority,2491
E09000004,Bexley,Social rented: Other social rented,11486
E09000004,Bexley,Private rented: Private landlord or letting agency,13078
E09000004,Bexley,Private rented: Other private rented,1500
E09000004,Bexley,Lives rent free,65
E09000005,Brent,Owned: Owns outright,23933
E09000005,Brent,Owned: Owns with a mortgage or loan,21660
E09000005,Brent,Shared ownership: Shared ownership,2246
E09000005,Brent,Social rented: Rents from council or Local Authority,10444
E09000005,Brent,Social rented: Other social rented,17432
E09000005,Brent,Private rented: Private landlord or letting agency,39732
E09000005,Brent,Private rented: Other private rented,2994
E09000005,Brent,Lives rent free,171
E09000006,Bromley,Owned: Owns outright,44794
E09000006,Bromley,Owned: Owns with a mortgage or loan,48234
E09000006,Bromley,Shared ownership: Shared ownership,1166
E09000006,Bromley,Social rented: Rents from council or Local Authority,2090
E09000006,Bromley,Social rented: Other social rented,15836
E09000006,Bromley,Private rented: Private landlord or letting agency,21418
E09000006,Bromley,Private rented: Other private rented,2243
E09000006,Bromley,Lives rent free,47
E09000007,Camden,Owned: Owns outright,14780
E09000007,Camden,Owned: Owns with a mortgage or loan,12727
E09000007,Camden,Shared ownership: Shared ownership,715
E09000007,Camden,Social rented: Rents from council or Local Authority,21051
E09000007,Camden,Social rented: Other social rented,10199
E09000007,Camden,Private rented: Private landlord or letting agency,30382
E09000007,Camden,Private rented: Other private rented,2630
E09000007,Camden,Lives rent free,274
E09000001,City of London,Owned: Owns outright,1114
E09000001,City of London,Owned: Owns with a mortgage or loan,680
E09000001,City of London,Shared ownership: Shared ownership,12
E09000001,City of London,Social rented: Rents from council or Local Authority,449
E09000001,City of London,Social rented: Other social rented,281
E09000001,City of London,Private rented: Private landlord or letting agency,2064
E09000001,City of London,Private rented: Other private rented,309
E09000001,City of London,Lives rent free,5
E09000008,Croydon,Owned: Owns outright,36992
E09000008,Croydon,Owned: Owns with a mortgage or loan,46675
E09000008,Croydon,Shared ownership: Shared ownership,2183
E09000008,Croydon,Social rented: Rents from council or Local Authority,14769
E09000008,Croydon,Social rented: Other social rented,12602
E09000008,Croydon,Private rented: Private landlord or letting agency,36484
E09000008,Croydon,Private rented: Other private rented,2957
E09000008,Croydon,Lives rent free,283
E09000009,Ealing,Owned: Owns outright,30275
